Sentence,Sentence#
"@CanonUSAimaging Another thing I like about the MX922 is how often the pages jam when I try to scan a larger stack.",1
"Fun times!",2
"@CanonUSAimaging It's kind of hard to exaggerate how much I hate the scanning interface on the MX922.",3
"AVOID CANON PIXMA MX922complete and total junk.......",4
"never worked out of the box customer service and tech support are NON EXISTENT!!!",5
"waiting for them to email me back since phone support does not exist and chat is out of the question",6
"Hey Canon,&#13;&#10;&#13;&#10;I have a PIXMA MX922 that is installed as required by you and will NOT sent faxes.",7
"It is set in ""Tel.",8
"Priority"" connected directly from the lower jack on the back of the unit and directly to the wall jack and nothing.",9
"The device pretends that is transmitting and then it drops the transmission, plays a musical note and prints out the report.",10
"I called customer service twice today and no solution.",11
"Every time I get Error Reports it waste ink, and as you well know, the ink is not cheap.",12
"i just bought the mx922 to print pictures with and bought the pro platinum paper...",13
"the pictures come out with lines across them..",14
"perfect vertical lines in uniform across the pictures...",15
"pictures look great if not for the lines...",16
"Sorry that you didn't like my negative review of your MX922 printer.",17
"I couldn't find where it violated your guidelines, but I'm glad that you're censoring negative reviews.",18
"I posted i to Amazon and other sites where it's sold though.",19
"Thanks!",20
"While this printer says it can handle printable cds, it?",21
"does not come with any instructions or software to help us do this.",22
"Again, you can search the guide for the words ""printable disc"" or the internet for ""mx922 print disc"" but, again, you will only find reference to the fact that this printer can print on discs but nowhere does it tell you how.",23
"While this printer claims to have many functions,?",24
"without some actual documentation, this printer is incapable of performing those functions.",25
"Just purchased the printer, and I've some questions: (1) where is the user manual?; (2) can I print from the top tray?",26
"I sometimes have to print on different quality paper, and?",27
"my last canon had a rear loading tray that permitted you to select ""print from.""",28
"I've tried to print from the top tray, and it doesn't seem to be working; (3) is there a way that I can print envelopes without having to unload the cassette?",29
"Jeff is right...............Who in the hell sends out a product like this without instructions..............but then again, how many people even read books or magazines nowadays..................?",30
":(",31
"While it is supposed to be able to print via email, you first have to print the ""printer registration URL page"".",32
"Unfortunately, there is no documentation as to how to perform this first step.",33
"Thus, it does not support print via email.",34
"You can search the guide and the internet for the words ""URL Page"" or ""printer registrations"" but there is only?",35
"documentation telling you that you need to print this page ...",36
"not how to print this page.",37
"Great printer - setup a little difficult - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The printer is good.",38
"I bought it to replace an old Canon.",39
"My only complaint is that setting it up for a wireless network was a long and involved process.",40
"I could not have done it without the help of Canon tech support.",41
"The Canon representative was very helpful though.",42
"If setup had been easier, I'd have given five stars.",43
"Want it to be Great, But Setup is Very Trying - Canon Office Products MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Received this past Friday, and have spent the better part of all weekend trying to get both Cloud and WiFi printing to work.",44
"Cloud printing is finally working on the the kid's 3 Chromebooks, and on my HP Win7 Laptop, but WiFi printing on my laptop is not working.",45
"You think you're ready to print right out of the box with the Chromebooks (and the fact that we all have Google accounts), as it says Cloud-ready, but that's not the whole story.",46
"The links you are directed to follow on the Cloud print setup lead you to circular dead-ends on the Canon website, getting you nowhere.",47
"Lots of videos and whatnot on how great Cloud printing is, but nothing useful on the setup.",48
"I finally went straight to the Printer interface and registered the printer on the Cloud from there, using the URL sheet it prints out, and manually connected it to my Router (WBS auto connect/setup would not work after trying for 2 hours).",49
"I had one of the kids be the Cloud Printer owner on their Chromebook (as the URL registration failed each time via my HP laptop), then share the Printer with me, giving me at least Cloud printing access on my HP laptop.",50
"WiFi set up fails every time, and I've done it a dozen times, wiping the Printer from my HP laptop before starting over each time.",51
"Says the Printer cannot be located on my network, and then it fouls up the LAN setting for the Chromebooks, and then causes the Printer to into a permanent ""offline"" state that cannot be reversed.",52
"I have to blow out the LAN settings, and then re-connect to the Router, or de-register from the Cloud completely and start over.",53
"I've tried to find the Printer by name, by IP address, etc. and it will not see it through my Router from my HP laptop; at a loss.",54
"So for now, I cannot print directly from Word, Excel, etc to the Printer over WiFi, which is a bit annoying.",55
"Not quite sure why this is proving so difficult, as I've not had these issues with other printers.",56
"This is my first Canon printer.",57
"Quality Printing - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I only gave 4 stars, because it is somewhat slow and also seems to lose the wireless connection a lot.",58
"Got a great deal from Amazon - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I had a Canon MP600 prior to purchasing Canon Pixma MX922.",59
"Since I had a good experience with my older Canon printer I found myself a little partial towards buying another Canon printer however I did do some research.",60
"MX922 ratings from various websites varied greatly.",61
"However, when Amazon offered this printer for $99 I couldn't pass up on this deal - typically the price of the MX922 ranges from $130 - $159.",62
"The wireless setup did not go as smooth as I had hope and eventually I had to call Canon Support for assistance.",63
"Canon Support was excellent and got through to them in about 4 minutes or less.",64
"Ipads are able to print to the MX922 which is a plus.",65
"Canon Support walked me through the fix and have not had a problem since.",66
"I love the feature of duplex which was a must for me.",67
"I am not an expert on color imaging but for me the color pages are good enough for me.",68
"I read a review which mentioned how noisy the printer was and I was kind of skeptical of this review however after owning this printer it is true.",69
"The MX922 is noisy for a printer.",70
"Also, the ink cartridges for this printer are a little bit pricey for what I am use to but I do not print a whole lot so I am not that concerned with the price but should be considered if you plan on doing alot of printing.",71
"I used generic cartridges for my old Canon printer and will do the same for this one.",72
"Loosing WLAN Connection after 1-2 hours inactivity (sleep mode) - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) When the printer goes to sleep mode it looses WLAN connection, WLAN setting list --> Connection = Inactive.",73
"Temporary Solution is OFF, ON Printer, takes a lot of time and the ink goes without printing anything.",74
"No Firmware upgrade available.",75
"Canon support blames router of customers.",76
"Older model MX340 works just without Airprint functionality.",77
"THIS PRINTER IS SLOW AND HUGE FOR NO REASON - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) For a higher priced printer you'd expect it to be better, but it's alright.",78
"THIS PRINTER IS SLOW AND HUGE FOR NO REASON.",79
"People say it's slow during initial start up, no it's a turtle compared to my old lexmark.",80
"I enjoy auto duplex make my life so much more convenient.",81
"You can't print either from the top or bottom paper tray.",82
"There are templates you can print out such as a checklist, graph paper, or a calendar.",83
"Useful in the office setting.",84
"Air print sounds awesome, but you still have to come back home and wake up the printer before it prints, so it defeats the purpose of printing anywhere.",85
"But the ink seems too last fairly long, had the printer for about 2 months now and used it moderately ( around 10 pages a week).",86
"Haven't had to change the ink yet.",87
"Quality of printing is superb.",88
"Slow and steady wins the race, i guess.",89
"jaha.",90
"Great machine, Great Amazon Service!!!",91
"- Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Received my first machine and was unable to run the set-up menu.",92
"Called Canon Tech support and performed a trouble shooting procedure without satisfaction.",93
"The Canon Rep.",94
"suggested to submit it for replacement, but the surprise was, Canon would replace it with a reconditioned machine.",95
"Thanks to my purchased at Amazon, return and replacement was painless and at no additional cost to me.",96
"My 5 stars is for Amazon, Canon should be ashamed for their Customer Service.",97
"The machine is great.",98
"The set-up is not without a challenge.",99
"Have not set-up the Fax at this time, but read in an other review, that it will be able to be used with a VOIP phone connection.",100
"Will follow up at a later time on the Fax set up.",101
"Not the best Canon - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) My Canon PIXMA MX860 died on me after years of hard work, so I needed another printer and decided for the MX922.",102
"If you need to print postcards, cardstock, or other thicker paper, it will not work, it doesn't have rear manual feeder.",103
"I tried printing postcards, and it jams all the time, in fact, it jams 15-25 times for each good postcard printed.",104
"I like Canon, this one will not work for me; I'm returning it and will order the PIXMA MX892, which has a rear manual feed capability.",105
"Nope.",106
"Never has worked right. - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) If you want to spend 10 to 15 minutes resetting all the buttons in order to make this print, this is the one for you!",107
"Oh, by the way, forget about just trying to make a simple copy.",108
"It just doesn't work.",109
"Next time I'll buy an HP at least those work!",110
"After I buy another printer I'm taking this in the backyard and have some fun with a 12 lb. sledge hammer, at least that will be satisfying.",111
"One other thing, this hasn't worked right from the beginning.",112
"I should have packed it up and sent it back!",113
"Printer offline errors and get ready to spend $$$ on replacement cartridges - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I've had this about a year and a half now.",114
"I have a mac, and I run a business.",115
"I had troubling installing the printer wirelessly.",116
"To this day, I still get printer offline errors.",117
"Most of the time printing works just fine, but when you run a business, it gets very frustrating.",118
"I don't do a ton of printing, yet still find myself getting my print cartridges filled every 2 months at Cartridge World.",119
"Annoying.",120
"Good printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) A good printer for the price.",121
"Makes excellent pictures.",122
"It makes alot of noise when 1st turn on, but runs like champ.",123
"DO NOT buy this if you want remote printing - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I bought this printer for one reason only - remote printing.",124
"I juggle caring for my elderly mother with work.",125
"I often need to leave instructions, maps, or meds lists for caregivers and thought it would be great to be able to send them remotely when I can't get to my mom's house.",126
"First I tried Canon's print to email.",127
"And at first it worked.",128
"Then, it refused to print one document no matter how many times I sent it; but it would print the same document fine locally when I was at my mom's house.",129
"I emailed Canon tech support.",130
"Their response was, well, since it printed locally, problem solved.",131
"I replied that this didn't solve the problem that I need the remote printing to work.",132
"I never got a response to that email.",133
"Then I thought well maybe Google Cloud print would work better, so I got that set up.",134
"Worked like a charm for a couple of days.",135
"Then suddenly nothing would print and Google cloud print said my printer was offline.",136
"So, I checked the Canon user forums and found a couple of other people with the same issue.",137
"The only thing Canon tech support told them was turn the printer off and back on again - again, not a solution that deals with the fact that this is supposed to be a remote printer.",138
"But, even that didn't work for me.",139
"Not only did Google cloud print say the printer was offline, when I went to the control panel on the printer and selected the thing that is supposed to connect to Google cloud print and fetch print jobs, the printer said it couldn't connect to the internet - even though the printer was connected via Ethernet cable and I knew I had working internet.",140
"So, I tried giving the printer a fixed IP address on the network.",141
"No, that didn't work.",142
"Since it was connected to the network via Ethernet cable I thought, well, maybe it will work better if I connect it wireless.",143
"So I unplugged the Ethernet cable and set the printer to connect to the wireless network.",144
"The printer told me it was connected, and the router told me it was connected.",145
"But Canon's network tool on my laptop could not find the printer and it could not print at all.",146
"So, I reconfigured the printer again for a wired connection to the LAN.",147
"Then, no problem with local printing.",148
"But my printer is still offline to Google cloud print and still says it can't connect to the internet.",149
