Wireless Setup,Wireless Connectivity,Windows Compatibility,Selling Price,Paper Feed,Overall Print Quality,Non-specific/Unknown,iOS Compatibility,Ink Consumption,Competitor Product Comparison,Audible Noise,Sentence,Sentence#
1,0,0,0,0,0,0,0,0,0,0,"Hey Canon,&#13;&#10;&#13;&#10;I have a PIXMA MX922 that is installed as required by you and will NOT sent faxes.",7
0,0,0,0,0,0,1,0,1,0,0,"Every time I get Error Reports it waste ink, and as you well know, the ink is not cheap.",12
0,0,0,0,1,0,0,0,0,0,0,"Just purchased the printer, and I've some questions: (1) where is the user manual?; (2) can I print from the top tray?",26
0,0,0,0,1,0,0,0,0,0,0,"I've tried to print from the top tray, and it doesn't seem to be working; (3) is there a way that I can print envelopes without having to unload the cassette?",29
1,0,0,0,0,0,0,0,0,0,0,"Great printer - setup a little difficult - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) The printer is good.",38
1,0,0,0,0,0,0,0,0,0,0,"My only complaint is that setting it up for a wireless network was a long and involved process.",40
1,0,0,0,0,0,0,0,0,0,0,"If setup had been easier, I'd have given five stars.",43
1,1,0,0,0,0,0,0,0,0,0,"Want it to be Great, But Setup is Very Trying - Canon Office Products MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Received this past Friday, and have spent the better part of all weekend trying to get both Cloud and WiFi printing to work.",44
0,1,1,0,0,0,0,0,0,1,0,"Cloud printing is finally working on the the kid's 3 Chromebooks, and on my HP Win7 Laptop, but WiFi printing on my laptop is not working.",45
1,0,0,0,0,0,0,0,0,0,0,"The links you are directed to follow on the Cloud print setup lead you to circular dead-ends on the Canon website, getting you nowhere.",47
1,0,0,0,0,0,0,0,0,0,0,"Lots of videos and whatnot on how great Cloud printing is, but nothing useful on the setup.",48
1,1,0,0,0,0,0,0,0,0,0,"I finally went straight to the Printer interface and registered the printer on the Cloud from there, using the URL sheet it prints out, and manually connected it to my Router (WBS auto connect/setup would not work after trying for 2 hours).",49
0,0,1,0,0,0,0,0,0,1,0,"I had one of the kids be the Cloud Printer owner on their Chromebook (as the URL registration failed each time via my HP laptop), then share the Printer with me, giving me at least Cloud printing access on my HP laptop.",50
1,0,1,0,0,0,0,0,0,1,0,"WiFi set up fails every time, and I've done it a dozen times, wiping the Printer from my HP laptop before starting over each time.",51
0,0,1,0,0,0,0,0,0,1,0,"I've tried to find the Printer by name, by IP address, etc. and it will not see it through my Router from my HP laptop; at a loss.",54
0,1,0,0,0,0,0,0,0,0,0,"So for now, I cannot print directly from Word, Excel, etc to the Printer over WiFi, which is a bit annoying.",55
0,1,0,0,0,0,0,0,0,0,0,"Quality Printing - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I only gave 4 stars, because it is somewhat slow and also seems to lose the wireless connection a lot.",58
0,0,0,1,0,0,0,0,0,0,0,"Got a great deal from Amazon - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I had a Canon MP600 prior to purchasing Canon Pixma MX922.",59
0,0,0,1,0,0,0,0,0,0,0,"However, when Amazon offered this printer for $99 I couldn't pass up on this deal - typically the price of the MX922 ranges from $130 - $159.",62
1,0,0,0,0,0,0,0,0,0,0,"The wireless setup did not go as smooth as I had hope and eventually I had to call Canon Support for assistance.",63
0,0,0,0,0,0,0,1,0,0,0,"Ipads are able to print to the MX922 which is a plus.",65
0,0,0,0,0,1,0,0,0,0,0,"I am not an expert on color imaging but for me the color pages are good enough for me.",68
0,0,0,0,0,0,0,0,0,0,1,"I read a review which mentioned how noisy the printer was and I was kind of skeptical of this review however after owning this printer it is true.",69
0,0,0,0,0,0,0,0,0,0,1,"The MX922 is noisy for a printer.",70
0,0,0,1,0,0,0,0,0,0,0,"Also, the ink cartridges for this printer are a little bit pricey for what I am use to but I do not print a whole lot so I am not that concerned with the price but should be considered if you plan on doing alot of printing.",71
0,1,0,0,0,0,0,0,0,0,0,"Loosing WLAN Connection after 1-2 hours inactivity (sleep mode) - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) When the printer goes to sleep mode it looses WLAN connection, WLAN setting list --> Connection = Inactive.",73
0,0,0,0,0,0,0,0,1,0,0,"Temporary Solution is OFF, ON Printer, takes a lot of time and the ink goes without printing anything.",74
0,0,0,1,0,0,0,0,0,0,0,"THIS PRINTER IS SLOW AND HUGE FOR NO REASON - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) For a higher priced printer you'd expect it to be better, but it's alright.",78
0,0,0,0,0,0,0,0,0,1,0,"People say it's slow during initial start up, no it's a turtle compared to my old lexmark.",80
0,0,0,0,1,0,0,0,0,0,0,"You can't print either from the top or bottom paper tray.",82
0,0,0,0,0,0,0,0,0,0,1,"Air print sounds awesome, but you still have to come back home and wake up the printer before it prints, so it defeats the purpose of printing anywhere.",85
0,0,0,0,0,0,0,0,1,0,0,"Haven't had to change the ink yet.",87
0,0,0,0,0,1,0,0,0,0,0,"Quality of printing is superb.",88
1,0,0,0,0,0,0,0,0,0,0,"- Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Received my first machine and was unable to run the set-up menu.",92
1,0,0,0,0,0,0,0,0,0,0,"The set-up is not without a challenge.",99
1,0,0,0,0,0,0,0,0,0,0,"Have not set-up the Fax at this time, but read in an other review, that it will be able to be used with a VOIP phone connection.",100
1,0,0,0,0,0,0,0,0,0,0,"Will follow up at a later time on the Fax set up.",101
0,0,0,0,0,0,0,0,0,1,0,"Next time I'll buy an HP at least those work!",110
0,0,0,0,0,0,1,0,1,0,0,"Printer offline errors and get ready to spend $$$ on replacement cartridges - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) I've had this about a year and a half now.",114
0,0,0,0,0,0,0,1,0,0,0,"I have a mac, and I run a business.",115
1,0,0,0,0,0,0,0,0,0,0,"I had troubling installing the printer wirelessly.",116
0,0,0,1,0,0,0,0,0,0,0,"Good printer - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) A good printer for the price.",121
0,0,0,0,0,0,0,0,0,0,1,"It makes alot of noise when 1st turn on, but runs like champ.",123
1,0,0,0,0,0,0,0,0,0,0,"Then I thought well maybe Google Cloud print would work better, so I got that set up.",134
0,1,0,0,0,0,0,0,0,0,0,"Then suddenly nothing would print and Google cloud print said my printer was offline.",136
