,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,208,17,29,1142,0.9244444444444444,0.8776371308016878,0.12236286919831224,0.07555555555555556
1,Wireless Connectivity,241,192,49,53,1102,0.7966804979253111,0.7836734693877551,0.2163265306122449,0.2033195020746888
2,Windows Compatibility,132,117,15,5,1259,0.8863636363636364,0.9590163934426229,0.040983606557377046,0.11363636363636363
3,Selling Price,84,65,19,12,1300,0.7738095238095238,0.8441558441558441,0.15584415584415584,0.2261904761904762
4,Paper Feed,81,60,21,27,1288,0.7407407407407407,0.6896551724137931,0.3103448275862069,0.25925925925925924
5,Overall Print Quality,121,93,28,63,1212,0.768595041322314,0.5961538461538461,0.40384615384615385,0.23140495867768596
6,Non-specific/Unknown,109,92,17,9,1278,0.8440366972477065,0.9108910891089109,0.0891089108910891,0.1559633027522936
7,iOS Compatibility,105,86,19,9,1282,0.819047619047619,0.9052631578947369,0.09473684210526316,0.18095238095238095
8,Ink Consumption,123,95,28,24,1249,0.7723577235772358,0.7983193277310925,0.20168067226890757,0.22764227642276422
9,Competitor Product Comparison,87,41,46,0,1309,0.47126436781609193,1.0,0.0,0.5287356321839081
10,Audible Noise,90,66,24,9,1297,0.7333333333333333,0.88,0.12,0.26666666666666666
11,Overall Customer Service,76,62,14,8,1312,0.8157894736842105,0.8857142857142857,0.11428571428571428,0.18421052631578946
12,Cloud Connectivity,44,27,17,6,1346,0.6136363636363636,0.8181818181818182,0.18181818181818182,0.38636363636363635
13,Paper Jam,31,20,11,4,1361,0.6451612903225806,0.8333333333333334,0.16666666666666666,0.3548387096774194
14,Color Print Quality,46,22,24,15,1335,0.4782608695652174,0.5945945945945946,0.40540540540540543,0.5217391304347826
15,Monochrome Print Quality,32,19,13,8,1356,0.59375,0.7037037037037037,0.2962962962962963,0.40625
16,Build Quality,78,47,31,55,1263,0.6025641025641025,0.46078431372549017,0.5392156862745098,0.3974358974358974
17,Print Speed,49,22,27,15,1332,0.4489795918367347,0.5945945945945946,0.40540540540540543,0.5510204081632653
18,CD/DVD Printing,8,0,8,5,1383,0.0,0.0,1.0,1.0
19,Initialization Speed,70,49,21,20,1306,0.7,0.7101449275362319,0.2898550724637681,0.3
20,Driver Performance,46,39,7,19,1331,0.8478260869565217,0.6724137931034483,0.3275862068965517,0.15217391304347827
