Sentence#,Wireless Setup,Wireless Connectivity,Windows Compatibility,Selling Price,Paper Feed,Overall Print Quality,Non-specific/Unknown,iOS Compatibility,Ink Consumption,Competitor Product Comparison,Audible Noise,Overall Customer Service,Cloud Connectivity,Paper Jam,Color Print Quality,Monochrome Print Quality,Build Quality,Print Speed,CD/DVD Printing,Initialization Speed,Driver Performance,Sentence,Wireless Setup_predicted,Wireless Connectivity_predicted,Windows Compatibility_predicted,Selling Price_predicted,Paper Feed_predicted,Overall Print Quality_predicted,Non-specific/Unknown_predicted,iOS Compatibility_predicted,Ink Consumption_predicted,Competitor Product Comparison_predicted,Audible Noise_predicted,Overall Customer Service_predicted,Cloud Connectivity_predicted,Paper Jam_predicted,Color Print Quality_predicted,Monochrome Print Quality_predicted,Build Quality_predicted,Print Speed_predicted,CD/DVD Printing_predicted,Initialization Speed_predicted,Driver Performance_predicted
15658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Today, 5 months later, I learn the print head is bad and I'll have to spend more money than the printer is worth to repair it.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1627,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big disappointment - Canon PIXMA MX922 Wireless Color Photo Printer with Scanner, Copier and Fax (Office Product) Doesn't print wirelessly from my laptop after the first day.",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7629,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"That may well be true, but the MX922 pales in comparison to the MX860, which was quieter and had features that the MX922 doesn't offer.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5665,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I have Windows 10.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10060,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"when printing from either my phone (Moto Droid Maxx Verizon) or tablet (Sony Xperia Z2 Verizon) while on same wifi network as printer (Canon MX922) documents get stuck as ""queued"" with multiple attempts showing, even though printer is showing up as ""on line"".and registration was completed correctly.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Nice and sleek finish, it also includes a protective bag.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3622,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"reasonably priced, easy to use.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,- I JUST BOUGHT THIS IN MARCH AND THE SPRING IN THE PAPER DRAWER POPPED OFF.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12639,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I also contacted Canon via email.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Easy set up!,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
