,subtopic,Total,YesYes,YesNo,NoYes,NoNo,YesYes%,YesNo%,NoYes%,NoNo%
0,Wireless Setup,1400,212,23,10,1155,0.15142857142857144,0.016428571428571428,0.007142857142857143,0.825
1,Wireless Connectivity,1400,198,40,40,1122,0.14142857142857143,0.02857142857142857,0.02857142857142857,0.8014285714285714
2,Windows Compatibility,1400,128,6,4,1262,0.09142857142857143,0.004285714285714286,0.002857142857142857,0.9014285714285715
3,Selling Price,1400,74,14,11,1301,0.05285714285714286,0.01,0.007857142857142858,0.9292857142857143
4,Paper Feed,1400,59,26,13,1302,0.04214285714285714,0.018571428571428572,0.009285714285714286,0.93
5,Overall Print Quality,1400,89,41,53,1217,0.06357142857142857,0.029285714285714286,0.03785714285714286,0.8692857142857143
6,Non-specific/Unknown,1400,80,15,7,1298,0.05714285714285714,0.010714285714285714,0.005,0.9271428571428572
7,iOS Compatibility,1400,83,10,3,1304,0.05928571428571429,0.007142857142857143,0.002142857142857143,0.9314285714285714
8,Ink Consumption,1400,88,17,13,1282,0.06285714285714286,0.012142857142857143,0.009285714285714286,0.9157142857142857
9,Competitor Product Comparison,1400,89,7,0,1304,0.06357142857142857,0.005,0.0,0.9314285714285714
10,Audible Noise,1400,78,19,10,1293,0.055714285714285716,0.013571428571428571,0.007142857142857143,0.9235714285714286
11,Overall Customer Service,1400,63,11,6,1320,0.045,0.007857142857142858,0.004285714285714286,0.9428571428571428
12,Cloud Connectivity,1400,23,16,6,1355,0.016428571428571428,0.011428571428571429,0.004285714285714286,0.9678571428571429
13,Paper Jam,1400,25,8,5,1362,0.017857142857142856,0.005714285714285714,0.0035714285714285713,0.9728571428571429
14,Color Print Quality,1400,38,19,42,1301,0.027142857142857142,0.013571428571428571,0.03,0.9292857142857143
15,Monochrome Print Quality,1400,16,12,34,1338,0.011428571428571429,0.008571428571428572,0.024285714285714285,0.9557142857142857
16,Build Quality,1400,35,41,22,1302,0.025,0.029285714285714286,0.015714285714285715,0.93
17,Print Speed,1400,32,17,11,1340,0.022857142857142857,0.012142857142857143,0.007857142857142858,0.9571428571428572
18,CD/DVD Printing,1400,0,7,8,1385,0.0,0.005,0.005714285714285714,0.9892857142857143
19,Initialization Speed,1400,49,22,22,1307,0.035,0.015714285714285715,0.015714285714285715,0.9335714285714286
20,Driver Performance,1400,31,9,21,1339,0.02214285714285714,0.0064285714285714285,0.015,0.9564285714285714
