Sentence#,Wireless Setup,Wireless Connectivity,Windows Compatibility,Selling Price,Paper Feed,Overall Print Quality,Sentence,Wireless Setup_predicted,Wireless Connectivity_predicted,Windows Compatibility_predicted,Selling Price_predicted,Paper Feed_predicted,Overall Print Quality_predicted
6057,0,0,0,0,0,0,"And Canon's tech support, by USA staff, is among the best anywhere.",0.0,0.0,0.0,0.0,0.0,0.0
5858,0,1,0,0,0,0,I did have a problem with my Surace RT seeing the printer if the printer is in wireless mode and went into standby.,0.0,1.0,0.0,0.0,0.0,0.0
8295,0,0,0,1,0,1,"It prints, copies and scans excellently, but the ink cost has very poor value for money and sometimes the print alignment is off",0.0,0.0,0.0,1.0,0.0,1.0
14376,0,0,0,0,0,0,Very please with Best Buy customer service!,0.0,0.0,0.0,0.0,0.0,0.0
1777,0,0,0,0,0,0,"This saves ink (other companies use software that has the color printing locked by default, so you use more color ink, or you have to manually switch out of color printing for each black & white print).",0.0,0.0,0.0,0.0,0.0,0.0
14923,0,1,1,0,0,0,"The screen on the printer shows send to ""PC Local USB"" How do I change that to the wireless network?",0.0,1.0,1.0,0.0,0.0,0.0
4008,0,0,0,0,0,0,I'm pleased with the Pixma MX922 but I certainly hope it doesn't break after only two years as well.,0.0,0.0,0.0,0.0,0.0,0.0
9476,0,0,0,1,0,0,Big boy printer - Awesome printer for the money.,0.0,0.0,0.0,1.0,0.0,0.0
15324,0,0,0,0,0,0,I went into Scangear but I don't see the advanced tab.,0.0,0.0,0.0,0.0,0.0,0.0
1152,1,0,0,0,0,0,The setup was easy to do - I followed the steps in the user guide.,1.0,0.0,0.0,0.0,0.0,0.0
14189,0,0,0,0,0,0,A Canon technical support representative will be able to resolve this issue faster.,0.0,0.0,0.0,0.0,0.0,0.0
16398,0,0,0,0,0,1,"turned off and on 300 times, says no power cord, however obviously that is not true since i am printing fine",0.0,0.0,0.0,0.0,0.0,0.0
13898,0,0,0,0,0,0,"Once you have downloaded the MP Drivers file, please right-click over it and select the RUN AS ADMINISTRATOR option to reinstall the printer and IJ Scan Utility.",0.0,0.0,0.0,0.0,0.0,0.0
7579,0,0,0,0,0,0,- This printer uses toner like no other printer I have never owned.,0.0,0.0,0.0,0.0,0.0,0.0
