,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Cloud Connectivity-SA,37,22,15,7,1323,0.5945945945945946,0.7586206896551724,0.2413793103448276,0.40540540540540543
1,Data Transfer/Transmission/Wireless Connectivity-SA,217,173,44,43,1107,0.7972350230414746,0.8009259259259259,0.19907407407407407,0.20276497695852536
2,Data Transfer/Transmission/Wireless Setup-SA,183,159,24,24,1160,0.8688524590163934,0.8688524590163934,0.13114754098360656,0.13114754098360656
3,Data Transfer/Transmission/Data Transfer Error-SA,26,6,20,13,1328,0.23076923076923078,0.3157894736842105,0.6842105263157895,0.7692307692307693
4,Body/Design/Size-SA,61,38,23,7,1299,0.6229508196721312,0.8444444444444444,0.15555555555555556,0.3770491803278688
5,Body/Design/Initialization Speed-SA,76,59,17,11,1280,0.7763157894736842,0.8428571428571429,0.15714285714285714,0.2236842105263158
6,Body/Design/Build Quality-SA,70,36,34,31,1266,0.5142857142857142,0.5373134328358209,0.4626865671641791,0.4857142857142857
7,Body/Design/Audible Noise-SA,100,84,16,5,1262,0.84,0.9438202247191011,0.056179775280898875,0.16
8,OS Compatibility/iOS Compatibility-SA,28,22,6,6,1333,0.7857142857142857,0.7857142857142857,0.21428571428571427,0.21428571428571427
9,OS Compatibility/Mac Compatibility-SA,67,58,9,4,1296,0.8656716417910447,0.9354838709677419,0.06451612903225806,0.13432835820895522
10,OS Compatibility/Windows Compatibility-SA,113,106,7,17,1237,0.9380530973451328,0.8617886178861789,0.13821138211382114,0.061946902654867256
11,Print Quality/Color Print Quality-SA,59,32,27,29,1279,0.5423728813559322,0.5245901639344263,0.47540983606557374,0.4576271186440678
12,Print Quality/Overall Print Quality-SA,96,45,51,31,1240,0.46875,0.5921052631578947,0.40789473684210525,0.53125
13,Print Quality/Monochrome Print Quality-SA,31,13,18,5,1331,0.41935483870967744,0.7222222222222222,0.2777777777777778,0.5806451612903226
14,Print Quality/Print Speed-SA,74,42,32,9,1284,0.5675675675675675,0.8235294117647058,0.17647058823529413,0.43243243243243246
15,Print Quality/Duplex Printing-SA,17,7,10,4,1346,0.4117647058823529,0.6363636363636364,0.36363636363636365,0.5882352941176471
16,Error Messages/Error B200-SA,11,11,0,3,1353,1.0,0.7857142857142857,0.21428571428571427,0.0
17,Error Messages/Non-specific/Unknown-SA,56,36,20,9,1302,0.6428571428571429,0.8,0.2,0.35714285714285715
18,Error Messages/Paper Jam-SA,23,14,9,6,1338,0.6086956521739131,0.7,0.3,0.391304347826087
19,Ink/Ink Consumption-SA,82,56,26,12,1273,0.6829268292682927,0.8235294117647058,0.17647058823529413,0.3170731707317073
20,Printing Media/Paper Feed-SA,92,61,31,16,1259,0.6630434782608695,0.7922077922077922,0.2077922077922078,0.33695652173913043
21,Printing Media/CD/DVD Printing-SA,14,7,7,4,1349,0.5,0.6363636363636364,0.36363636363636365,0.5
22,Customer Care/Agent Knowledge-SA,16,4,12,3,1348,0.25,0.5714285714285714,0.42857142857142855,0.75
23,Customer Care/Overall Customer Service-SA,59,40,19,12,1296,0.6779661016949152,0.7692307692307693,0.23076923076923078,0.3220338983050847
24,Software/Driver Performance-SA,11,3,8,7,1349,0.2727272727272727,0.3,0.7,0.7272727272727273
25,Product Documentation/Documentation Clarity-SA,18,1,17,2,1347,0.05555555555555555,0.3333333333333333,0.6666666666666666,0.9444444444444444
26,Product Documentation/Documentation Format-SA,8,1,7,5,1354,0.125,0.16666666666666666,0.8333333333333334,0.875
27,Feature Request/Paper Feed Options-SA,21,11,10,8,1338,0.5238095238095238,0.5789473684210527,0.42105263157894735,0.47619047619047616
28,Settings & Modes/Sleep/Power Save Mode-SA,12,3,9,0,1355,0.25,1.0,0.0,0.75
29,Fax/Scan Function/Fax/Scan Operation-SA,101,56,45,23,1243,0.5544554455445545,0.7088607594936709,0.2911392405063291,0.44554455445544555
