,subtopic,Total,YesYes,YesNo,NoYes,NoNo,TruePositive%,TrueNegative%,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,0,0,0,3,1514,NA,NA,NA,NA
1,Data Transfer/Transmission/Cloud Connectivity-SA,42,27,15,6,1469,0.6428571428571429,34.976190476190474,0.14285714285714285,0.35714285714285715
2,Data Transfer/Transmission/Wireless Connectivity-SA,236,192,44,39,1242,0.8135593220338984,5.262711864406779,0.1652542372881356,0.1864406779661017
3,Data Transfer/Transmission/Wireless Setup-SA,186,154,32,19,1312,0.8279569892473119,7.053763440860215,0.10215053763440861,0.17204301075268819
4,Data Transfer/Transmission/Data Transfer Error-SA,23,9,14,18,1476,0.391304347826087,64.17391304347827,0.782608695652174,0.6086956521739131
5,Body/Design/Ergonomics -SA,6,1,5,8,1503,0.16666666666666666,250.5,1.3333333333333333,0.8333333333333334
6,Body/Design/I/O Port(s)-SA,2,0,2,0,1515,0.0,757.5,0.0,1.0
7,Body/Design/Size-SA,71,40,31,6,1440,0.5633802816901409,20.281690140845072,0.08450704225352113,0.43661971830985913
8,Body/Design/Weight-SA,11,3,8,0,1506,0.2727272727272727,136.9090909090909,0.0,0.7272727272727273
9,Body/Design/Controls/Buttons-SA,3,0,3,4,1510,0.0,503.3333333333333,1.3333333333333333,1.0
10,Body/Design/Power On/Off-SA,9,3,6,4,1504,0.3333333333333333,167.11111111111111,0.4444444444444444,0.6666666666666666
11,Body/Design/Initialization Speed-SA,67,45,22,18,1432,0.6716417910447762,21.37313432835821,0.26865671641791045,0.3283582089552239
12,Body/Design/Build Quality-SA,66,33,33,24,1427,0.5,21.62121212121212,0.36363636363636365,0.5
13,Body/Design/Audible Noise-SA,73,59,14,14,1430,0.8082191780821918,19.589041095890412,0.1917808219178082,0.1917808219178082
14,Body/Design/Indicator Light-SA,6,2,4,1,1510,0.3333333333333333,251.66666666666666,0.16666666666666666,0.6666666666666666
