,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Data Transfer/Transmission/Wireless Range-SA,4,0,4,0,1514,NA,NA,NA,NA
1,Data Transfer/Transmission/Cloud Connectivity-SA,39,24,15,25,1454,0.6153846153846154,0.4897959183673469,0.5102040816326531,0.38461538461538464
2,Data Transfer/Transmission/Wireless Connectivity-SA,235,174,61,47,1236,0.7404255319148936,0.7873303167420814,0.21266968325791855,0.25957446808510637
3,Data Transfer/Transmission/Wireless Setup-SA,186,131,55,20,1312,0.7043010752688172,0.8675496688741722,0.13245033112582782,0.2956989247311828
4,Data Transfer/Transmission/Data Transfer Error-SA,20,0,20,0,1498,NA,NA,NA,NA
5,Body/Design/Ergonomics -SA,12,0,12,0,1506,NA,NA,NA,NA
6,Body/Design/I/O Port(s)-SA,1,0,1,0,1517,NA,NA,NA,NA
7,Body/Design/Size-SA,52,7,45,0,1466,0.1346153846153846,1.0,0.0,0.8653846153846154
8,Body/Design/Weight-SA,9,0,9,0,1509,NA,NA,NA,NA
9,Body/Design/Controls/Buttons-SA,6,0,6,0,1512,NA,NA,NA,NA
10,Body/Design/Power On/Off-SA,8,0,8,0,1510,NA,NA,NA,NA
11,Body/Design/Initialization Speed-SA,72,44,28,16,1430,0.6111111111111112,0.7333333333333333,0.26666666666666666,0.3888888888888889
12,Body/Design/Build Quality-SA,67,15,52,12,1439,0.22388059701492538,0.5555555555555556,0.4444444444444444,0.7761194029850746
13,Body/Design/Audible Noise-SA,103,52,51,7,1408,0.5048543689320388,0.8813559322033898,0.11864406779661017,0.49514563106796117
14,Body/Design/Indicator Light-SA,6,0,6,0,1512,NA,NA,NA,NA
15,Body/Design/Unit Locks Up-SA,4,0,4,0,1514,NA,NA,NA,NA
16,OS Compatibility/Android Compatibility-SA,5,0,5,0,1513,NA,NA,NA,NA
17,OS Compatibility/iOS Compatibility-SA,28,10,18,4,1486,0.35714285714285715,0.7142857142857143,0.2857142857142857,0.6428571428571429
18,OS Compatibility/Mac Compatibility-SA,65,27,38,1,1452,0.4153846153846154,0.9642857142857143,0.03571428571428571,0.5846153846153846
19,OS Compatibility/Windows Compatibility-SA,125,103,22,2,1391,0.824,0.9809523809523809,0.01904761904761905,0.176
20,OS Compatibility/Other OS Compatibility-SA,6,0,6,0,1512,NA,NA,NA,NA
